CNT,CNTSCHID,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC162Q01SA,SC011Q01TA,SC167Q01HA,SC167Q02HA,SC167Q03HA,SC167Q04HA,SC167Q05HA,SC167Q06HA,SC002Q01TA,SC002Q02TA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC003Q01TA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q12IA,SC053Q13IA,SC053Q09TA,SC053Q10TA,SC053Q14IA,SC053Q15IA,SC053Q16IA,SC053D11TA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,avg_cog,med_cog,avg_math,med_math,avg_read,med_read,avg_science,med_science
CZE,20300073,4,1,92,NA,NA,8,1,1,1,2,1,1,1,1,136,422,38,13,38,13,0,0,38,13,2,1,4,1,2,2,1,2,1,2,1,1,1,2,0203001,12,52,11,3,0,0,0,7,4,47.266666666666666,44,9.866666666666667,10
CZE,20300074,2,1,99,1,0,0,1,3,1,1,1,1,1,1,216,254,22,5,NA,NA,0,NA,NA,NA,0,NA,3,1,2,2,1,2,1,1,1,2,1,1,0203001,0,10,90,1,2,0,0,5.217391304347826,4,44.26086956521739,42,9.608695652173912,6
CZE,20300075,3,1,100,0,0,0,1,3,1,1,1,1,1,1,449,459,52,2,51,2,0,0,51,0,0,0,3,2,1,1,1,2,2,2,1,1,1,2,0203001,1,65,10,7,0,0,0,6.125,2,48.09375,43.5,9.125,9
CZE,20300076,2,1,100,0,0,0,1,1,1,1,1,1,1,1,123,202,24,6,24,4,1,0,19,4,4,1,4,1,1,1,2,2,2,1,1,1,1,2,0203001,2,11,62,5,NA,0,0,7,3,47.3,45,9.9,12
CZE,20300077,1,1,100,0,0,0,1,1,1,1,1,1,1,1,108,121,28,7,28,6,0,1,19,5,NA,1,2,2,1,1,1,1,1,1,1,1,2,1,0203001,8,10,70,5,NA,0,0,8.636363636363637,1,52.63636363636363,40,12.045454545454543,10
CZE,20300078,3,1,100,0,0,0,1,1,1,1,1,1,1,1,201,253,35,9,35,9,0,0,35,9,7,2,3,1,1,2,1,2,2,2,2,1,NA,2,0203001,1,12,26,NA,NA,0,0,11.823529411764708,6,88.76470588235294,74,14.588235294117649,15
CZE,20300079,4,1,99,0,1,0,2,1,1,1,1,1,1,1,192,262,24,3,24,3,0,0,24,3,2,0,3,1,1,2,2,1,1,1,1,1,1,1,0203002,NA,100,100,100,NA,0,0,9.347826086956522,9,61.95652173913044,46,14.26086956521739,6
CZE,20300080,2,1,95,5,0,0,2,2,1,2,1,1,1,1,167,191,24,1,22,1,1,0,21,1,0,0,2,2,2,2,2,1,2,2,1,2,2,2,0203002,2,25,25,5,NA,0,0,5.071428571428571,1.5,50.142857142857146,41,13.285714285714286,4
CZE,20300081,3,1,95,NA,NA,5,1,1,2,1,1,1,1,1,434,373,69,9,69,9,5,0,55,6,0,0,4,2,2,2,1,2,2,2,1,2,1,2,0203001,22,50,50,5,NA,0,0,5.9375,3,45,39.5,8.90625,7.5
CZE,20300082,5,1,91,2,1,6,2,2,2,1,1,1,1,1,289,271,32,9,0,2,4,1,27,4,1,0,3,2,2,1,1,2,2,1,1,1,2,2,0203002,0,100,100,6,13,0,0,6.611111111111111,2,47.388888888888886,46.5,12.77777777777778,13
